 Substance:Al_U       2023/12/12 09:50:39                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Unit             1.0000  1.0000
 Masks	:        1       1
 Smoothing FWHM [Å]   9.99999940E-02

 Output: g(r)
 Partials index        1  1    1  2    2  2
   r [A]   Total       Al_Al   Al_U   U_U
   8.540    0.914     0.782   0.127   0.004
   8.560    0.915     0.784   0.127   0.004
   8.580    0.916     0.785   0.127   0.004
   8.600    0.916     0.785   0.127   0.004
   8.620    0.916     0.784   0.127   0.004
   8.640    0.915     0.784   0.127   0.004
   8.660    0.915     0.785   0.127   0.004
   8.680    0.916     0.786   0.126   0.004
   8.700    0.917     0.786   0.127   0.004
   8.720    0.918     0.787   0.127   0.004
   8.740    0.919     0.789   0.127   0.004
   8.760    0.921     0.790   0.126   0.004
   8.780    0.923     0.793   0.126   0.004
   8.800    0.926     0.796   0.126   0.005
   8.820    0.930     0.799   0.126   0.005
   8.840    0.933     0.801   0.127   0.005
   8.860    0.935     0.802   0.128   0.005
   8.880    0.937     0.803   0.128   0.005
   8.900    0.939     0.805   0.129   0.005
   8.920    0.941     0.806   0.129   0.005
   8.940    0.943     0.808   0.130   0.005
   8.960    0.945     0.809   0.130   0.005
   8.980    0.946     0.810   0.131   0.005
   9.000    0.947     0.811   0.131   0.005
   9.020    0.947     0.812   0.130   0.005
   9.040    0.949     0.814   0.130   0.005
   9.060    0.951     0.816   0.129   0.005
   9.080    0.954     0.819   0.129   0.005
   9.100    0.956     0.822   0.129   0.005
   9.120    0.959     0.825   0.129   0.005
   9.140    0.962     0.828   0.129   0.005
   9.160    0.965     0.831   0.129   0.005
   9.180    0.968     0.834   0.129   0.006
   9.200    0.971     0.837   0.128   0.006
   9.220    0.974     0.840   0.128   0.006
   9.240    0.977     0.843   0.129   0.006
   9.260    0.981     0.845   0.130   0.006
   9.280    0.984     0.847   0.131   0.006
   9.300    0.987     0.849   0.133   0.006
   9.320    0.991     0.852   0.134   0.005
   9.340    0.996     0.855   0.136   0.005
   9.360    1.001     0.858   0.137   0.005
   9.380    1.005     0.862   0.138   0.005
   9.400    1.008     0.864   0.138   0.006
   9.420    1.009     0.866   0.137   0.006
   9.440    1.011     0.868   0.137   0.006
   9.460    1.014     0.870   0.138   0.006
   9.480    1.018     0.873   0.138   0.006
   9.500    1.023     0.877   0.140   0.006
   9.520    1.028     0.881   0.141   0.006
   9.540    1.033     0.884   0.142   0.006
   9.560    1.036     0.886   0.143   0.007
   9.580    1.039     0.887   0.145   0.007
   9.600    1.040     0.887   0.146   0.007
   9.620    1.042     0.887   0.148   0.007
   9.640    1.043     0.886   0.149   0.007
   9.660    1.045     0.887   0.151   0.008
   9.680    1.048     0.888   0.153   0.008
   9.700    1.052     0.890   0.154   0.008
   9.720    1.057     0.893   0.156   0.008
   9.740    1.060     0.895   0.157   0.009
   9.760    1.062     0.895   0.157   0.009
   9.780    1.062     0.895   0.158   0.009
   9.800    1.062     0.894   0.159   0.010
   9.820    1.063     0.894   0.159   0.010
   9.840    1.066     0.895   0.160   0.010
   9.860    1.069     0.897   0.162   0.011
   9.880    1.072     0.898   0.163   0.011
   9.900    1.073     0.899   0.163   0.011
   9.920    1.073     0.898   0.164   0.011
   9.940    1.071     0.896   0.164   0.011
   9.960    1.069     0.894   0.164   0.011
   9.980    1.067     0.892   0.164   0.011
  10.000    1.066     0.891   0.164   0.011
  10.020    1.066     0.891   0.164   0.011
  10.040    1.065     0.890   0.165   0.011
  10.060    1.063     0.888   0.164   0.011
  10.080    1.062     0.887   0.164   0.011
  10.100    1.060     0.886   0.163   0.011
  10.120    1.057     0.885   0.162   0.011
  10.140    1.055     0.883   0.161   0.011
  10.160    1.053     0.882   0.160   0.011
  10.180    1.052     0.881   0.160   0.011
  10.200    1.052     0.881   0.160   0.011
  10.220    1.051     0.880   0.161   0.010
  10.240    1.049     0.878   0.160   0.010
  10.260    1.045     0.875   0.160   0.010
  10.280    1.041     0.872   0.159   0.010
  10.300    1.038     0.870   0.159   0.010
  10.320    1.036     0.869   0.158   0.009
  10.340    1.034     0.868   0.156   0.009
  10.360    1.031     0.867   0.155   0.009
  10.380    1.028     0.866   0.153   0.009
  10.400    1.024     0.864   0.150   0.009
  10.420    1.020     0.863   0.148   0.009
  10.440    1.017     0.861   0.147   0.009
  10.460    1.014     0.860   0.146   0.009
  10.480    1.011     0.858   0.145   0.008
  10.500    1.008     0.854   0.145   0.008
  10.520    1.004     0.850   0.146   0.008
  10.540    0.999     0.846   0.146   0.007
  10.560    0.994     0.842   0.145   0.007
  10.580    0.989     0.838   0.144   0.007
  10.600    0.985     0.835   0.143   0.007
  10.620    0.982     0.833   0.141   0.007
  10.640    0.979     0.832   0.140   0.007
  10.660    0.976     0.831   0.138   0.007
  10.680    0.974     0.830   0.137   0.006
  10.700    0.972     0.829   0.137   0.006
  10.720    0.971     0.828   0.137   0.006
  10.740    0.970     0.827   0.137   0.006
  10.760    0.969     0.826   0.137   0.006
  10.780    0.967     0.825   0.136   0.006
  10.800    0.965     0.824   0.135   0.006
  10.820    0.963     0.823   0.134   0.006
  10.840    0.961     0.822   0.134   0.006
  10.860    0.959     0.820   0.133   0.006
  10.880    0.957     0.818   0.133   0.006
  10.900    0.956     0.817   0.133   0.006
  10.920    0.955     0.816   0.133   0.006
  10.940    0.954     0.815   0.133   0.006
  10.960    0.954     0.815   0.133   0.006
  10.980    0.953     0.814   0.133   0.006
  11.000    0.952     0.814   0.133   0.006
  11.020    0.951     0.813   0.132   0.006
  11.040    0.949     0.812   0.131   0.006
  11.060    0.949     0.813   0.131   0.006
  11.080    0.950     0.813   0.131   0.006
  11.100    0.951     0.814   0.131   0.006
  11.120    0.951     0.815   0.131   0.006
  11.140    0.951     0.815   0.130   0.006
  11.160    0.951     0.815   0.130   0.006
  11.180    0.952     0.815   0.130   0.006
  11.200    0.952     0.816   0.130   0.006
  11.220    0.954     0.817   0.131   0.006
  11.240    0.955     0.818   0.131   0.006
  11.260    0.957     0.819   0.132   0.006
  11.280    0.959     0.821   0.132   0.006
  11.300    0.961     0.823   0.132   0.006
  11.320    0.962     0.824   0.132   0.006
  11.340    0.963     0.825   0.132   0.006
  11.360    0.964     0.826   0.132   0.006
