 Substance:Al_U       2023/12/12 09:52:08                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2
   Q [A-1]   Total       Al_Al   Al_U   U_U
 139.146    0.998     0.241   0.499   0.258
 139.190    0.998     0.241   0.499   0.258
 139.234    0.998     0.241   0.499   0.258
 139.277    0.999     0.241   0.499   0.259
 139.321    1.001     0.241   0.500   0.260
 139.365    1.001     0.241   0.500   0.259
 139.408    1.000     0.242   0.500   0.259
 139.452    0.999     0.242   0.499   0.258
 139.495    0.998     0.241   0.500   0.256
 139.539    1.000     0.241   0.500   0.259
 139.583    1.001     0.241   0.500   0.260
 139.626    1.000     0.241   0.499   0.259
 139.670    0.998     0.241   0.499   0.258
 139.714    1.000     0.242   0.500   0.259
 139.757    1.001     0.241   0.500   0.260
 139.801    1.000     0.241   0.499   0.259
 139.845    1.001     0.241   0.500   0.260
 139.888    1.001     0.241   0.500   0.260
 139.932    0.999     0.242   0.499   0.258
 139.975    0.999     0.242   0.500   0.257
 140.019    1.002     0.241   0.500   0.260
 140.063    1.000     0.241   0.500   0.258
 140.106    0.998     0.241   0.500   0.256
 140.150    0.999     0.242   0.500   0.258
 140.194    1.000     0.242   0.500   0.259
 140.237    1.002     0.241   0.500   0.261
 140.281    1.003     0.241   0.500   0.261
 140.324    1.001     0.241   0.500   0.260
 140.368    1.001     0.241   0.500   0.260
 140.412    1.001     0.241   0.500   0.259
 140.455    0.999     0.241   0.499   0.258
 140.499    1.000     0.241   0.501   0.258
 140.543    1.002     0.242   0.501   0.260
 140.586    1.001     0.241   0.500   0.260
 140.630    1.000     0.241   0.499   0.260
 140.674    0.998     0.241   0.500   0.257
 140.717    0.998     0.241   0.500   0.257
 140.761    1.003     0.241   0.500   0.262
 140.804    1.004     0.241   0.500   0.262
 140.848    1.001     0.241   0.500   0.259
 140.892    0.998     0.242   0.500   0.257
 140.935    0.998     0.242   0.499   0.257
 140.979    0.999     0.241   0.499   0.259
 141.023    1.001     0.241   0.500   0.260
 141.066    0.999     0.241   0.500   0.258
 141.110    0.997     0.241   0.499   0.257
 141.154    0.999     0.241   0.500   0.258
 141.197    0.997     0.241   0.499   0.257
 141.241    0.995     0.241   0.498   0.256
 141.284    0.999     0.242   0.499   0.259
 141.328    1.000     0.242   0.500   0.259
 141.372    0.998     0.241   0.499   0.258
 141.415    1.000     0.241   0.500   0.258
 141.459    1.002     0.242   0.501   0.260
 141.503    1.003     0.241   0.500   0.261
 141.546    1.000     0.241   0.500   0.259
 141.590    1.001     0.241   0.500   0.259
 141.633    1.002     0.241   0.499   0.261
 141.677    1.000     0.242   0.500   0.259
 141.721    1.000     0.242   0.500   0.258
 141.764    1.000     0.241   0.500   0.259
 141.808    0.999     0.241   0.500   0.258
 141.852    1.001     0.242   0.500   0.260
 141.895    1.002     0.242   0.501   0.260
 141.939    0.999     0.241   0.500   0.258
 141.983    0.998     0.241   0.499   0.258
 142.026    0.999     0.241   0.500   0.258
 142.070    0.999     0.242   0.500   0.257
 142.113    1.001     0.242   0.500   0.260
 142.157    1.004     0.241   0.501   0.261
 142.201    1.001     0.242   0.501   0.259
 142.244    0.997     0.242   0.500   0.256
 142.288    0.999     0.241   0.500   0.258
 142.332    1.001     0.241   0.500   0.259
 142.375    0.999     0.241   0.500   0.258
 142.419    1.001     0.242   0.500   0.259
 142.463    1.000     0.241   0.500   0.259
 142.506    0.999     0.241   0.500   0.259
 142.550    1.001     0.241   0.500   0.260
 142.593    1.003     0.241   0.500   0.261
 142.637    1.004     0.241   0.500   0.262
 142.681    1.002     0.241   0.500   0.260
 142.724    0.998     0.241   0.500   0.257
 142.768    0.998     0.241   0.500   0.257
 142.812    1.001     0.241   0.500   0.259
 142.855    1.002     0.241   0.500   0.261
 142.899    0.999     0.241   0.500   0.257
 142.942    0.998     0.241   0.499   0.258
 142.986    0.999     0.241   0.499   0.259
 143.030    0.998     0.241   0.499   0.257
 143.073    0.999     0.241   0.500   0.258
 143.117    1.001     0.241   0.500   0.259
 143.161    1.000     0.242   0.500   0.259
 143.204    0.998     0.242   0.500   0.257
 143.248    0.997     0.241   0.500   0.256
 143.292    0.999     0.241   0.499   0.258
 143.335    0.999     0.241   0.499   0.258
 143.379    0.999     0.241   0.500   0.258
 143.422    1.000     0.241   0.501   0.258
 143.466    1.001     0.241   0.501   0.259
 143.510    1.000     0.242   0.499   0.259
 143.553    1.001     0.242   0.500   0.259
 143.597    1.002     0.241   0.500   0.261
 143.641    0.999     0.241   0.499   0.258
 143.684    0.997     0.242   0.500   0.256
 143.728    1.000     0.241   0.500   0.259
 143.771    1.003     0.241   0.500   0.261
 143.815    1.002     0.241   0.500   0.261
 143.859    1.000     0.241   0.499   0.260
 143.902    0.999     0.241   0.500   0.258
 143.946    0.999     0.242   0.500   0.257
 143.990    1.002     0.242   0.500   0.260
 144.033    1.002     0.241   0.501   0.260
 144.077    1.000     0.241   0.500   0.259
 144.121    0.999     0.241   0.499   0.258
 144.164    1.000     0.242   0.500   0.259
 144.208    1.001     0.242   0.501   0.258
 144.251    0.998     0.242   0.501   0.256
 144.295    0.998     0.241   0.500   0.256
 144.339    1.001     0.241   0.499   0.260
 144.382    1.001     0.241   0.499   0.261
 144.426    1.001     0.242   0.500   0.259
 144.470    1.002     0.241   0.501   0.260
 144.513    1.002     0.242   0.500   0.261
 144.557    1.000     0.242   0.499   0.259
 144.601    1.000     0.242   0.500   0.258
 144.644    1.001     0.241   0.500   0.259
 144.688    1.000     0.241   0.500   0.258
 144.731    0.999     0.242   0.500   0.257
 144.775    0.999     0.241   0.500   0.258
 144.819    1.000     0.241   0.499   0.260
 144.862    1.001     0.241   0.499   0.260
 144.906    1.002     0.241   0.500   0.261
 144.950    1.001     0.241   0.500   0.259
 144.993    0.997     0.241   0.499   0.256
 145.037    0.998     0.241   0.499   0.257
 145.081    1.000     0.241   0.500   0.258
 145.124    0.999     0.241   0.500   0.258
 145.168    1.000     0.241   0.500   0.259
 145.211    0.998     0.241   0.499   0.258
 145.255    0.998     0.241   0.500   0.257
 145.299    0.998     0.241   0.500   0.257
 145.342    0.999     0.241   0.499   0.259
 145.386    1.001     0.241   0.500   0.260
 145.430    1.000     0.241   0.499   0.259
 145.473    1.001     0.242   0.500   0.259
 145.517    1.001     0.241   0.500   0.259
 145.560    1.001     0.241   0.500   0.259
 145.604    1.002     0.241   0.500   0.260
 145.648    1.001     0.241   0.499   0.260
 145.691    1.000     0.241   0.500   0.259
 145.735    0.999     0.241   0.500   0.258
 145.779    0.999     0.241   0.500   0.258
 145.822    1.000     0.242   0.500   0.259
 145.866    1.000     0.242   0.500   0.258
 145.910    1.001     0.242   0.500   0.260
 145.953    1.001     0.241   0.500   0.259
 145.997    0.999     0.242   0.500   0.258
 146.040    0.998     0.241   0.500   0.257
 146.084    0.999     0.241   0.500   0.258
 146.128    1.001     0.242   0.501   0.259
 146.171    1.001     0.242   0.500   0.260
 146.215    1.001     0.241   0.499   0.260
 146.259    0.999     0.241   0.500   0.258
 146.302    1.001     0.241   0.501   0.259
 146.346    1.003     0.241   0.501   0.260
 146.389    1.002     0.241   0.500   0.260
 146.433    0.999     0.241   0.499   0.259
 146.477    0.999     0.241   0.499   0.259
 146.520    1.002     0.242   0.500   0.260
 146.564    1.000     0.242   0.500   0.259
 146.608    0.998     0.241   0.500   0.257
 146.651    1.000     0.241   0.501   0.258
 146.695    1.001     0.242   0.500   0.259
 146.739    1.000     0.242   0.500   0.258
 146.782    0.999     0.241   0.500   0.258
 146.826    0.999     0.241   0.500   0.258
 146.869    1.000     0.241   0.500   0.259
 146.913    1.002     0.242   0.500   0.260
 146.957    1.001     0.242   0.499   0.260
 147.000    0.998     0.241   0.499   0.257
 147.044    0.998     0.241   0.499   0.258
 147.088    1.000     0.241   0.500   0.258
 147.131    1.000     0.242   0.500   0.258
 147.175    0.998     0.242   0.500   0.257
 147.219    0.998     0.241   0.500   0.257
 147.262    1.001     0.241   0.500   0.259
 147.306    1.001     0.241   0.500   0.260
 147.349    0.999     0.241   0.499   0.258
 147.393    1.000     0.242   0.500   0.259
 147.437    1.000     0.242   0.500   0.259
 147.480    1.000     0.241   0.500   0.259
 147.524    1.000     0.241   0.500   0.259
 147.568    1.000     0.241   0.499   0.260
 147.611    1.001     0.241   0.500   0.259
 147.655    1.001     0.241   0.500   0.259
 147.699    1.000     0.241   0.500   0.258
 147.742    0.999     0.241   0.500   0.258
 147.786    1.000     0.241   0.499   0.259
 147.829    0.999     0.241   0.499   0.258
 147.873    1.000     0.241   0.500   0.259
 147.917    1.000     0.241   0.500   0.259
 147.960    1.001     0.242   0.500   0.259
 148.004    1.002     0.241   0.501   0.259
 148.048    1.000     0.241   0.500   0.259
 148.091    1.000     0.241   0.499   0.260
 148.135    1.001     0.242   0.500   0.259
 148.178    0.999     0.242   0.500   0.258
 148.222    1.001     0.241   0.500   0.260
 148.266    1.002     0.241   0.501   0.260
 148.309    1.000     0.241   0.500   0.259
 148.353    0.999     0.242   0.500   0.257
 148.397    0.999     0.242   0.500   0.257
 148.440    1.001     0.241   0.500   0.260
 148.484    1.000     0.241   0.500   0.259
 148.528    0.998     0.241   0.499   0.257
 148.571    0.997     0.241   0.500   0.256
 148.615    1.002     0.242   0.501   0.259
 148.658    1.005     0.241   0.501   0.263
 148.702    1.000     0.241   0.499   0.261
 148.746    0.998     0.242   0.499   0.257
 148.789    1.000     0.242   0.500   0.259
 148.833    1.000     0.241   0.500   0.258
 148.877    1.000     0.241   0.500   0.259
 148.920    1.001     0.241   0.500   0.260
 148.964    1.000     0.241   0.500   0.259
 149.007    0.999     0.242   0.500   0.257
 149.051    0.997     0.241   0.499   0.257
 149.095    0.999     0.241   0.499   0.258
 149.138    1.002     0.242   0.500   0.260
 149.182    1.001     0.242   0.500   0.259
 149.226    0.998     0.241   0.499   0.257
 149.269    0.997     0.241   0.499   0.256
 149.313    1.000     0.241   0.500   0.259
 149.357    1.002     0.241   0.500   0.260
 149.400    1.000     0.242   0.500   0.258
 149.444    1.000     0.242   0.500   0.258
 149.487    0.999     0.241   0.500   0.258
 149.531    1.000     0.241   0.499   0.259
 149.575    1.002     0.241   0.500   0.261
 149.618    1.001     0.241   0.499   0.260
 149.662    1.001     0.241   0.499   0.260
 149.706    1.000     0.242   0.501   0.258
 149.749    1.000     0.241   0.501   0.258
 149.793    0.999     0.241   0.499   0.258
 149.837    1.001     0.241   0.500   0.260
 149.880    1.002     0.241   0.500   0.261
 149.924    0.999     0.241   0.499   0.258
 149.967    0.998     0.241   0.499   0.257
 150.011    0.999     0.241   0.499   0.258
 150.055    0.999     0.241   0.500   0.258
 150.098    1.001     0.241   0.501   0.259
 150.142    1.001     0.241   0.500   0.259
 150.186    1.000     0.241   0.500   0.259
 150.229    1.001     0.241   0.500   0.260
 150.273    1.000     0.241   0.500   0.259
 150.316    1.000     0.241   0.500   0.259
 150.360    1.000     0.241   0.500   0.258
 150.404    1.001     0.242   0.500   0.259
 150.447    1.001     0.241   0.500   0.260
 150.491    1.000     0.241   0.500   0.259
 150.535    1.000     0.241   0.500   0.258
 150.578    1.001     0.241   0.500   0.259
 150.622    1.001     0.241   0.500   0.260
 150.666    1.001     0.241   0.500   0.260
 150.709    0.999     0.242   0.499   0.258
 150.753    0.998     0.242   0.499   0.257
 150.796    0.999     0.241   0.499   0.258
 150.840    1.000     0.241   0.500   0.259
 150.884    1.000     0.241   0.500   0.258
 150.927    1.000     0.241   0.500   0.259
 150.971    1.001     0.241   0.500   0.259
 151.015    1.000     0.241   0.500   0.258
 151.058    0.998     0.241   0.500   0.257
 151.102    0.998     0.241   0.499   0.257
 151.146    1.002     0.242   0.500   0.261
 151.189    1.002     0.241   0.500   0.261
 151.233    0.999     0.241   0.500   0.258
 151.276    0.999     0.242   0.499   0.258
 151.320    1.001     0.242   0.500   0.259
 151.364    1.000     0.242   0.501   0.258
 151.407    0.999     0.241   0.499   0.258
 151.451    1.000     0.241   0.499   0.260
 151.495    1.001     0.241   0.500   0.260
 151.538    0.999     0.242   0.500   0.258
 151.582    0.998     0.241   0.500   0.257
 151.625    1.000     0.241   0.500   0.259
 151.669    1.001     0.241   0.500   0.260
 151.713    1.001     0.241   0.500   0.260
 151.756    0.999     0.241   0.500   0.258
 151.800    0.998     0.241   0.500   0.257
 151.844    1.001     0.241   0.500   0.260
 151.887    1.004     0.241   0.500   0.262
 151.931    1.000     0.241   0.500   0.259
 151.975    0.996     0.242   0.500   0.255
 152.018    0.999     0.242   0.500   0.257
 152.062    1.002     0.241   0.500   0.261
 152.105    0.999     0.241   0.500   0.257
 152.149    0.999     0.242   0.500   0.257
 152.193    1.002     0.242   0.501   0.260
 152.236    1.002     0.241   0.499   0.261
 152.280    1.002     0.241   0.499   0.261
 152.324    1.000     0.241   0.500   0.258
 152.367    0.999     0.241   0.500   0.257
 152.411    1.001     0.241   0.500   0.259
 152.455    1.001     0.242   0.500   0.260
 152.498    1.000     0.241   0.500   0.259
 152.542    0.999     0.241   0.500   0.257
 152.585    0.999     0.241   0.500   0.257
 152.629    0.999     0.241   0.500   0.258
 152.673    1.000     0.241   0.500   0.259
 152.716    1.003     0.241   0.500   0.261
 152.760    1.002     0.241   0.500   0.261
 152.804    0.999     0.242   0.499   0.258
 152.847    0.998     0.242   0.500   0.257
 152.891    1.000     0.241   0.501   0.258
 152.934    1.000     0.242   0.500   0.259
 152.978    1.000     0.241   0.500   0.258
 153.022    1.001     0.241   0.500   0.259
 153.065    0.999     0.241   0.500   0.258
 153.109    0.999     0.242   0.500   0.258
 153.153    1.000     0.241   0.499   0.259
 153.196    1.000     0.241   0.499   0.259
 153.240    0.999     0.241   0.500   0.258
 153.284    0.998     0.242   0.500   0.257
 153.327    1.000     0.242   0.499   0.259
 153.371    1.001     0.241   0.500   0.260
 153.414    1.001     0.242   0.500   0.259
 153.458    1.001     0.241   0.500   0.259
 153.502    1.000     0.241   0.499   0.259
 153.545    1.001     0.241   0.499   0.260
 153.589    1.002     0.241   0.500   0.260
 153.633    1.000     0.241   0.500   0.259
 153.676    0.999     0.241   0.499   0.258
 153.720    0.999     0.241   0.500   0.258
 153.764    1.001     0.241   0.500   0.259
 153.807    1.001     0.242   0.500   0.260
 153.851    1.000     0.241   0.500   0.258
 153.894    0.999     0.241   0.500   0.257
 153.938    1.000     0.241   0.500   0.259
 153.982    1.001     0.241   0.500   0.260
 154.025    0.999     0.241   0.499   0.258
 154.069    0.998     0.241   0.500   0.257
 154.113    1.001     0.241   0.500   0.260
 154.156    1.001     0.241   0.500   0.260
 154.200    1.000     0.241   0.501   0.258
 154.243    1.001     0.241   0.500   0.259
 154.287    0.999     0.241   0.499   0.259
 154.331    0.998     0.241   0.499   0.258
 154.374    1.002     0.241   0.500   0.260
 154.418    1.001     0.241   0.501   0.259
 154.462    0.999     0.242   0.500   0.258
 154.505    1.000     0.242   0.500   0.259
 154.549    1.002     0.241   0.500   0.260
 154.593    1.001     0.241   0.500   0.260
 154.636    1.000     0.241   0.500   0.258
 154.680    1.000     0.241   0.500   0.259
 154.723    1.000     0.241   0.500   0.259
 154.767    0.999     0.241   0.500   0.258
 154.811    1.000     0.241   0.500   0.259
 154.854    1.000     0.241   0.500   0.259
 154.898    0.999     0.241   0.500   0.257
 154.942    0.999     0.242   0.500   0.257
 154.985    0.999     0.242   0.499   0.259
 155.029    1.000     0.242   0.499   0.259
 155.073    1.000     0.242   0.501   0.258
 155.116    1.000     0.241   0.500   0.258
 155.160    1.001     0.241   0.499   0.260
 155.203    1.000     0.241   0.500   0.259
 155.247    1.000     0.242   0.500   0.258
 155.291    1.000     0.242   0.499   0.259
 155.334    1.000     0.241   0.499   0.259
 155.378    1.000     0.241   0.500   0.259
 155.422    1.001     0.242   0.500   0.259
 155.465    1.000     0.241   0.499   0.260
 155.509    0.999     0.241   0.499   0.258
 155.552    0.999     0.241   0.500   0.257
 155.596    1.001     0.241   0.501   0.259
 155.640    1.000     0.242   0.500   0.259
 155.683    1.000     0.242   0.500   0.259
 155.727    1.001     0.241   0.500   0.260
 155.771    1.002     0.241   0.500   0.261
 155.814    1.002     0.242   0.500   0.260
 155.858    0.998     0.241   0.499   0.258
 155.902    0.998     0.241   0.499   0.258
 155.945    1.000     0.241   0.500   0.258
 155.989    0.999     0.242   0.501   0.257
 156.032    0.999     0.241   0.500   0.258
 156.076    1.000     0.241   0.499   0.260
 156.120    1.001     0.241   0.500   0.260
 156.163    1.000     0.241   0.501   0.259
 156.207    1.000     0.241   0.500   0.259
 156.251    1.000     0.242   0.500   0.258
 156.294    0.998     0.242   0.499   0.257
 156.338    0.999     0.241   0.500   0.258
 156.382    1.000     0.241   0.501   0.259
 156.425    1.000     0.241   0.500   0.259
 156.469    1.001     0.241   0.500   0.260
 156.512    1.001     0.241   0.501   0.259
 156.556    1.001     0.241   0.500   0.259
 156.600    1.001     0.242   0.500   0.260
 156.643    1.000     0.242   0.499   0.259
 156.687    0.998     0.241   0.500   0.257
 156.731    0.998     0.241   0.501   0.256
 156.774    0.999     0.241   0.501   0.257
 156.818    1.000     0.241   0.499   0.259
 156.861    1.002     0.241   0.500   0.260
 156.905    1.002     0.241   0.501   0.260
 156.949    0.999     0.241   0.499   0.258
 156.992    0.999     0.242   0.500   0.258
 157.036    1.001     0.242   0.500   0.259
 157.080    1.000     0.241   0.500   0.259
