 Substance:Al_U       2023/12/12 09:53:01                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
  18.719     0.010   0.003   0.047
  18.762     0.012  -0.002   0.070
  18.806     0.010   0.001   0.051
  18.850     0.005   0.015   0.030
  18.893     0.004   0.012  -0.008
  18.937     0.006   0.000  -0.049
  18.980     0.009  -0.001  -0.004
  19.024     0.012  -0.008   0.045
  19.068     0.012  -0.006   0.062
  19.111     0.012  -0.007   0.075
  19.155     0.009  -0.008   0.059
  19.199     0.003  -0.002   0.028
  19.242     0.002  -0.014  -0.005
  19.286     0.008  -0.024  -0.012
  19.330     0.009  -0.015   0.014
  19.373     0.006  -0.009   0.065
  19.417     0.005  -0.021   0.074
  19.460     0.005  -0.030   0.029
  19.504     0.001  -0.026  -0.001
  19.548    -0.004  -0.009  -0.016
  19.591     0.000   0.002  -0.046
  19.635     0.002   0.003  -0.073
  19.679     0.001  -0.003  -0.033
  19.722     0.003  -0.017  -0.005
  19.766    -0.000  -0.007  -0.040
  19.809    -0.003   0.010  -0.020
  19.853    -0.006   0.004  -0.025
  19.897    -0.009  -0.002  -0.069
  19.940    -0.003  -0.001  -0.044
  19.984     0.002   0.006  -0.025
  20.028    -0.002  -0.000  -0.018
  20.071    -0.007  -0.012  -0.020
  20.115    -0.008   0.003  -0.030
  20.159    -0.008   0.007  -0.030
  20.202    -0.004  -0.002  -0.046
  20.246    -0.005   0.007  -0.040
  20.289    -0.011   0.020  -0.018
  20.333    -0.014   0.020  -0.015
  20.377    -0.014   0.006   0.015
  20.420    -0.005  -0.001   0.020
  20.464     0.001   0.011   0.001
  20.508    -0.006   0.016   0.003
  20.551    -0.008  -0.001  -0.004
  20.595    -0.003   0.006  -0.001
  20.639    -0.003   0.025   0.022
  20.682    -0.005   0.004   0.059
  20.726    -0.003  -0.013   0.049
  20.769    -0.003  -0.003  -0.044
  20.813    -0.007   0.009  -0.064
  20.857    -0.004   0.026   0.049
  20.900     0.002   0.016   0.070
  20.944    -0.002  -0.016   0.021
  20.988    -0.001  -0.007   0.005
  21.031    -0.003   0.015  -0.007
  21.075    -0.000   0.003  -0.013
  21.118     0.008  -0.009   0.010
  21.162     0.002  -0.007   0.082
  21.206     0.000  -0.011   0.063
  21.249     0.000  -0.007   0.012
